s,"tamp,datetime,","humidity,t",emperature
"""","1497825343"",""",18/06/2017,"22:35:43"",""62.8"",""18.6"""
"""","1497825344"",""",18/06/2017,"22:35:44"",""62.8"",""18.6"""
"""","1497825345"",""",18/06/2017,"22:35:45"",""62.8"",""18.6"""
"""","1497825346"",""",18/06/2017,"22:35:46"",""62.8"",""18.6"""
"""","1497825347"",""",18/06/2017,"22:35:47"",""62.8"",""18.6"""
"""","1497825348"",""",18/06/2017,"22:35:48"",""62.9"",""18.6"""
"""","1497825349"",""",18/06/2017,"22:35:49"",""62.9"",""18.6"""
"""","1497825350"",""",18/06/2017,"22:35:50"",""62.9"",""18.6"""
"""","1497825351"",""",18/06/2017,"22:35:51"",""62.9"",""18.6"""
"""","1497825352"",""",18/06/2017,"22:35:52"",""62.9"",""18.6"""
"""","1497825353"",""",18/06/2017,"22:35:53"",""62.9"",""18.6"""
"""","1497825354"",""",18/06/2017,"22:35:54"",""62.9"",""18.6"""
"""","1497825355"",""",18/06/2017,"22:35:55"",""62.9"",""18.6"""
"""","1497825356"",""",18/06/2017,"22:35:56"",""62.9"",""18.6"""
"""","1497825357"",""",18/06/2017,"22:35:57"",""62.9"",""18.6"""
"""","1497825358"",""",18/06/2017,"22:35:58"",""62.9"",""18.6"""
"""","1497825359"",""",18/06/2017,"22:35:59"",""63.0"",""18.6"""
"""","1497825360"",""",18/06/2017,"22:36:0"",""63.0"",""18.6"""
"""","1497825361"",""",18/06/2017,"22:36:1"",""63.1"",""18.6"""
"""","1497825362"",""",18/06/2017,"22:36:2"",""63.1"",""18.6"""
"""","1497825363"",""",18/06/2017,"22:36:3"",""63.1"",""18.5"""
"""","1497825364"",""",18/06/2017,"22:36:4"",""63.1"",""18.5"""
"""","1497825365"",""",18/06/2017,"22:36:5"",""63.1"",""18.5"""
"""","1497825366"",""",18/06/2017,"22:36:6"",""63.2"",""18.5"""
"""","1497825367"",""",18/06/2017,"22:36:7"",""63.2"",""18.5"""
"""","1497825368"",""",18/06/2017,"22:36:8"",""63.2"",""18.5"""
"""","1497825369"",""",18/06/2017,"22:36:9"",""63.2"",""18.5"""
"""","1497825370"",""",18/06/2017,"22:36:10"",""63.2"",""18.5"""
"""","1497825371"",""",18/06/2017,"22:36:11"",""63.2"",""18.5"""
"""","1497825372"",""",18/06/2017,"22:36:12"",""63.2"",""18.5"""
"""","1497825373"",""",18/06/2017,"22:36:13"",""63.2"",""18.5"""
"""","1497825374"",""",18/06/2017,"22:36:14"",""63.2"",""18.5"""
"""","1497825375"",""",18/06/2017,"22:36:15"",""63.2"",""18.5"""
"""","1497825376"",""",18/06/2017,"22:36:16"",""63.2"",""18.5"""
"""","1497825377"",""",18/06/2017,"22:36:17"",""63.2"",""18.5"""
"""","1497825378"",""",18/06/2017,"22:36:18"",""63.2"",""18.5"""
"""","1497825379"",""",18/06/2017,"22:36:19"",""63.2"",""18.5"""
"""","1497825380"",""",18/06/2017,"22:36:20"",""63.2"",""18.5"""
"""","1497825381"",""",18/06/2017,"22:36:21"",""63.2"",""18.5"""
"""","1497825382"",""",18/06/2017,"22:36:22"",""63.2"",""18.5"""
"""","1497825383"",""",18/06/2017,"22:36:23"",""63.2"",""18.5"""
"""","1497825384"",""",18/06/2017,"22:36:24"",""63.2"",""18.5"""
"""","1497825385"",""",18/06/2017,"22:36:25"",""63.2"",""18.5"""
"""","1497825386"",""",18/06/2017,"22:36:26"",""63.2"",""18.5"""
"""","1497825387"",""",18/06/2017,"22:36:27"",""63.2"",""18.5"""
"""","1497825388"",""",18/06/2017,"22:36:28"",""63.2"",""18.5"""
"""","1497825389"",""",18/06/2017,"22:36:29"",""63.3"",""18.5"""
"""","1497825390"",""",18/06/2017,"22:36:30"",""63.3"",""18.5"""
"""","1497825391"",""",18/06/2017,"22:36:31"",""63.3"",""18.5"""
"""","1497825392"",""",18/06/2017,"22:36:32"",""63.3"",""18.5"""
"""","1497825393"",""",18/06/2017,"22:36:33"",""63.3"",""18.5"""
"""","1497825394"",""",18/06/2017,"22:36:34"",""63.4"",""18.5"""
"""","1497825395"",""",18/06/2017,"22:36:35"",""63.4"",""18.5"""
"""","1497825396"",""",18/06/2017,"22:36:36"",""63.4"",""18.5"""
"""","1497825397"",""",18/06/2017,"22:36:37"",""63.4"",""18.5"""
"""","1497825398"",""",18/06/2017,"22:36:38"",""63.4"",""18.5"""
"""","1497825399"",""",18/06/2017,"22:36:39"",""63.3"",""18.4"""
"""","1497825400"",""",18/06/2017,"22:36:40"",""63.3"",""18.4"""
"""","1497825401"",""",18/06/2017,"22:36:41"",""63.3"",""18.4"""
"""","1497825402"",""",18/06/2017,"22:36:42"",""63.4"",""18.4"""
"""","1497825403"",""",18/06/2017,"22:36:43"",""63.4"",""18.4"""
"""","1497825404"",""",18/06/2017,"22:36:44"",""63.4"",""18.4"""
"""","1497825405"",""",18/06/2017,"22:36:45"",""63.5"",""18.5"""
"""","1497825406"",""",18/06/2017,"22:36:46"",""63.5"",""18.5"""
"""","1497825407"",""",18/06/2017,"22:36:47"",""63.4"",""18.4"""
"""","1497825408"",""",18/06/2017,"22:36:48"",""63.4"",""18.4"""
"""","1497825409"",""",18/06/2017,"22:36:49"",""63.4"",""18.4"""
"""","1497825410"",""",18/06/2017,"22:36:50"",""63.4"",""18.4"""
"""","1497825411"",""",18/06/2017,"22:36:51"",""63.5"",""18.4"""
"""","1497825412"",""",18/06/2017,"22:36:52"",""63.5"",""18.4"""
"""","1497825413"",""",18/06/2017,"22:36:53"",""63.5"",""18.4"""
"""","1497825414"",""",18/06/2017,"22:36:54"",""63.5"",""18.4"""
"""","1497825415"",""",18/06/2017,"22:36:55"",""63.5"",""18.4"""
"""","1497825416"",""",18/06/2017,"22:36:56"",""63.7"",""18.4"""
"""","1497825417"",""",18/06/2017,"22:36:57"",""63.7"",""18.4"""
"""","1497825418"",""",18/06/2017,"22:36:58"",""63.8"",""18.4"""
"""","1497825419"",""",18/06/2017,"22:36:59"",""63.8"",""18.4"""
"""","1497825420"",""",18/06/2017,"22:37:0"",""63.7"",""18.3"""
"""","1497825421"",""",18/06/2017,"22:37:1"",""63.7"",""18.3"""
"""","1497825422"",""",18/06/2017,"22:37:2"",""63.8"",""18.4"""
"""","1497825423"",""",18/06/2017,"22:37:3"",""63.8"",""18.4"""
"""","1497825424"",""",18/06/2017,"22:37:4"",""63.8"",""18.4"""
"""","1497825425"",""",18/06/2017,"22:37:5"",""63.8"",""18.4"""
"""","1497825426"",""",18/06/2017,"22:37:6"",""63.8"",""18.4"""
"""","1497825427"",""",18/06/2017,"22:37:7"",""63.8"",""18.3"""
"""","1497825428"",""",18/06/2017,"22:37:8"",""63.8"",""18.3"""
"""","1497825429"",""",18/06/2017,"22:37:9"",""63.8"",""18.3"""
"""","1497825430"",""",18/06/2017,"22:37:10"",""63.8"",""18.3"""
"""","1497825431"",""",18/06/2017,"22:37:11"",""63.8"",""18.3"""
"""","1497825432"",""",18/06/2017,"22:37:12"",""63.8"",""18.3"""
"""","1497825433"",""",18/06/2017,"22:37:13"",""63.8"",""18.3"""
"""","1497825434"",""",18/06/2017,"22:37:14"",""63.8"",""18.3"""
"""","1497825435"",""",18/06/2017,"22:37:15"",""63.8"",""18.3"""
"""","1497825436"",""",18/06/2017,"22:37:16"",""63.7"",""18.3"""
"""","1497825437"",""",18/06/2017,"22:37:17"",""63.7"",""18.3"""
"""","1497825438"",""",18/06/2017,"22:37:18"",""63.7"",""18.3"""
"""","1497825439"",""",18/06/2017,"22:37:19"",""63.7"",""18.3"""
"""","1497825440"",""",18/06/2017,"22:37:20"",""63.7"",""18.3"""
"""","1497825441"",""",18/06/2017,"22:37:21"",""63.7"",""18.3"""
