s,"tamp,datetime,","humidity,t",emperature
"""","1497837717"",""",19/06/2017,"2:1:57"",""69.5"",""14.8"""
"""","1497837718"",""",19/06/2017,"2:1:58"",""69.7"",""14.9"""
"""","1497837719"",""",19/06/2017,"2:1:59"",""69.7"",""14.9"""
"""","1497837720"",""",19/06/2017,"2:2:0"",""69.6"",""14.9"""
"""","1497837721"",""",19/06/2017,"2:2:1"",""69.6"",""14.9"""
"""","1497837722"",""",19/06/2017,"2:2:2"",""69.7"",""14.9"""
"""","1497837723"",""",19/06/2017,"2:2:3"",""69.7"",""14.9"""
"""","1497837724"",""",19/06/2017,"2:2:4"",""69.6"",""14.9"""
"""","1497837725"",""",19/06/2017,"2:2:5"",""69.6"",""14.9"""
"""","1497837726"",""",19/06/2017,"2:2:6"",""69.6"",""14.9"""
"""","1497837727"",""",19/06/2017,"2:2:7"",""69.6"",""14.9"""
"""","1497837728"",""",19/06/2017,"2:2:8"",""69.6"",""14.9"""
"""","1497837729"",""",19/06/2017,"2:2:9"",""69.6"",""14.9"""
"""","1497837730"",""",19/06/2017,"2:2:10"",""69.6"",""14.9"""
"""","1497837731"",""",19/06/2017,"2:2:11"",""69.6"",""14.9"""
"""","1497837732"",""",19/06/2017,"2:2:12"",""69.6"",""14.9"""
"""","1497837733"",""",19/06/2017,"2:2:13"",""69.6"",""14.9"""
"""","1497837734"",""",19/06/2017,"2:2:14"",""69.6"",""14.9"""
"""","1497837735"",""",19/06/2017,"2:2:15"",""69.6"",""14.9"""
"""","1497837736"",""",19/06/2017,"2:2:16"",""69.6"",""14.9"""
"""","1497837737"",""",19/06/2017,"2:2:17"",""69.6"",""14.9"""
"""","1497837738"",""",19/06/2017,"2:2:18"",""69.6"",""14.9"""
"""","1497837739"",""",19/06/2017,"2:2:19"",""69.6"",""14.9"""
"""","1497837740"",""",19/06/2017,"2:2:20"",""69.6"",""14.9"""
"""","1497837741"",""",19/06/2017,"2:2:21"",""69.6"",""14.9"""
"""","1497837742"",""",19/06/2017,"2:2:22"",""69.6"",""14.9"""
"""","1497837743"",""",19/06/2017,"2:2:23"",""69.6"",""14.9"""
"""","1497837744"",""",19/06/2017,"2:2:24"",""69.6"",""14.9"""
"""","1497837745"",""",19/06/2017,"2:2:25"",""69.6"",""14.9"""
"""","1497837746"",""",19/06/2017,"2:2:26"",""69.6"",""14.9"""
"""","1497837747"",""",19/06/2017,"2:2:27"",""69.4"",""14.8"""
"""","1497837748"",""",19/06/2017,"2:2:28"",""69.4"",""14.8"""
"""","1497837749"",""",19/06/2017,"2:2:29"",""69.6"",""14.9"""
"""","1497837750"",""",19/06/2017,"2:2:30"",""69.6"",""14.9"""
"""","1497837751"",""",19/06/2017,"2:2:31"",""69.6"",""14.9"""
"""","1497837752"",""",19/06/2017,"2:2:32"",""69.6"",""14.9"""
"""","1497837753"",""",19/06/2017,"2:2:33"",""69.6"",""14.9"""
"""","1497837754"",""",19/06/2017,"2:2:34"",""69.6"",""14.9"""
"""","1497837755"",""",19/06/2017,"2:2:35"",""69.6"",""14.9"""
"""","1497837756"",""",19/06/2017,"2:2:36"",""69.6"",""14.9"""
"""","1497837757"",""",19/06/2017,"2:2:37"",""69.6"",""14.9"""
"""","1497837758"",""",19/06/2017,"2:2:38"",""69.6"",""14.9"""
"""","1497837759"",""",19/06/2017,"2:2:39"",""69.6"",""14.9"""
"""","1497837760"",""",19/06/2017,"2:2:40"",""69.6"",""14.9"""
"""","1497837761"",""",19/06/2017,"2:2:41"",""69.6"",""14.9"""
"""","1497837762"",""",19/06/2017,"2:2:42"",""69.6"",""14.9"""
"""","1497837763"",""",19/06/2017,"2:2:43"",""69.6"",""14.9"""
"""","1497837764"",""",19/06/2017,"2:2:44"",""69.6"",""14.9"""
"""","1497837765"",""",19/06/2017,"2:2:45"",""69.6"",""14.9"""
"""","1497837766"",""",19/06/2017,"2:2:46"",""69.6"",""14.9"""
"""","1497837767"",""",19/06/2017,"2:2:47"",""69.6"",""14.9"""
"""","1497837768"",""",19/06/2017,"2:2:48"",""69.6"",""14.9"""
"""","1497837769"",""",19/06/2017,"2:2:49"",""69.6"",""14.9"""
"""","1497837770"",""",19/06/2017,"2:2:50"",""69.6"",""14.9"""
"""","1497837771"",""",19/06/2017,"2:2:51"",""69.6"",""14.9"""
"""","1497837772"",""",19/06/2017,"2:2:52"",""69.5"",""14.9"""
"""","1497837773"",""",19/06/2017,"2:2:53"",""69.5"",""14.9"""
"""","1497837774"",""",19/06/2017,"2:2:54"",""69.5"",""14.9"""
"""","1497837775"",""",19/06/2017,"2:2:55"",""69.5"",""14.9"""
"""","1497837776"",""",19/06/2017,"2:2:56"",""69.5"",""14.9"""
"""","1497837777"",""",19/06/2017,"2:2:57"",""69.5"",""14.9"""
"""","1497837778"",""",19/06/2017,"2:2:58"",""69.5"",""14.9"""
"""","1497837779"",""",19/06/2017,"2:2:59"",""69.5"",""14.9"""
"""","1497837780"",""",19/06/2017,"2:3:0"",""69.5"",""14.9"""
"""","1497837781"",""",19/06/2017,"2:3:1"",""69.5"",""14.9"""
"""","1497837782"",""",19/06/2017,"2:3:2"",""69.5"",""14.9"""
"""","1497837783"",""",19/06/2017,"2:3:3"",""69.5"",""14.9"""
"""","1497837784"",""",19/06/2017,"2:3:4"",""69.5"",""14.9"""
"""","1497837785"",""",19/06/2017,"2:3:5"",""69.5"",""14.9"""
"""","1497837786"",""",19/06/2017,"2:3:6"",""69.5"",""14.9"""
"""","1497837787"",""",19/06/2017,"2:3:7"",""69.5"",""14.9"""
"""","1497837788"",""",19/06/2017,"2:3:8"",""69.5"",""14.9"""
"""","1497837789"",""",19/06/2017,"2:3:9"",""69.5"",""14.9"""
"""","1497837790"",""",19/06/2017,"2:3:10"",""69.5"",""14.9"""
"""","1497837791"",""",19/06/2017,"2:3:11"",""69.5"",""14.9"""
"""","1497837792"",""",19/06/2017,"2:3:12"",""69.5"",""14.9"""
"""","1497837793"",""",19/06/2017,"2:3:13"",""69.5"",""14.9"""
"""","1497837794"",""",19/06/2017,"2:3:14"",""69.5"",""14.9"""
"""","1497837795"",""",19/06/2017,"2:3:15"",""69.5"",""14.9"""
"""","1497837796"",""",19/06/2017,"2:3:16"",""69.5"",""14.9"""
"""","1497837797"",""",19/06/2017,"2:3:17"",""69.5"",""14.9"""
"""","1497837798"",""",19/06/2017,"2:3:18"",""69.5"",""14.9"""
"""","1497837799"",""",19/06/2017,"2:3:19"",""69.5"",""14.9"""
"""","1497837800"",""",19/06/2017,"2:3:20"",""69.5"",""14.9"""
"""","1497837801"",""",19/06/2017,"2:3:21"",""69.5"",""14.9"""
"""","1497837802"",""",19/06/2017,"2:3:22"",""69.5"",""14.9"""
"""","1497837803"",""",19/06/2017,"2:3:23"",""69.5"",""14.9"""
"""","1497837804"",""",19/06/2017,"2:3:24"",""69.5"",""14.9"""
"""","1497837805"",""",19/06/2017,"2:3:25"",""69.5"",""14.9"""
"""","1497837806"",""",19/06/2017,"2:3:26"",""69.5"",""14.9"""
"""","1497837807"",""",19/06/2017,"2:3:27"",""69.5"",""14.9"""
"""","1497837808"",""",19/06/2017,"2:3:28"",""69.5"",""14.9"""
"""","1497837809"",""",19/06/2017,"2:3:29"",""69.6"",""14.9"""
"""","1497837810"",""",19/06/2017,"2:3:30"",""69.6"",""14.9"""
"""","1497837811"",""",19/06/2017,"2:3:31"",""69.6"",""14.9"""
"""","1497837812"",""",19/06/2017,"2:3:32"",""69.6"",""14.9"""
"""","1497837813"",""",19/06/2017,"2:3:33"",""69.6"",""14.9"""
"""","1497837814"",""",19/06/2017,"2:3:34"",""69.6"",""14.9"""
"""","1497837815"",""",19/06/2017,"2:3:35"",""69.6"",""14.9"""
"""","1497837816"",""",19/06/2017,"2:3:36"",""69.6"",""14.9"""
"""","1497837817"",""",19/06/2017,"2:3:37"",""69.6"",""14.9"""
"""","1497837818"",""",19/06/2017,"2:3:38"",""69.6"",""14.9"""
"""","1497837819"",""",19/06/2017,"2:3:39"",""69.6"",""14.9"""
"""","1497837820"",""",19/06/2017,"2:3:40"",""69.5"",""14.8"""
"""","1497837821"",""",19/06/2017,"2:3:41"",""69.5"",""14.8"""
"""","1497837822"",""",19/06/2017,"2:3:42"",""69.6"",""14.9"""
"""","1497837823"",""",19/06/2017,"2:3:43"",""69.6"",""14.9"""
"""","1497837824"",""",19/06/2017,"2:3:44"",""69.6"",""14.9"""
"""","1497837825"",""",19/06/2017,"2:3:45"",""69.6"",""14.9"""
"""","1497837826"",""",19/06/2017,"2:3:46"",""69.6"",""14.9"""
"""","1497837827"",""",19/06/2017,"2:3:47"",""69.6"",""14.9"""
"""","1497837828"",""",19/06/2017,"2:3:48"",""69.6"",""14.9"""
"""","1497837829"",""",19/06/2017,"2:3:49"",""69.6"",""14.9"""
"""","1497837830"",""",19/06/2017,"2:3:50"",""69.6"",""14.9"""
"""","1497837831"",""",19/06/2017,"2:3:51"",""69.6"",""14.9"""
"""","1497837832"",""",19/06/2017,"2:3:52"",""69.6"",""14.9"""
"""","1497837833"",""",19/06/2017,"2:3:53"",""69.6"",""14.9"""
"""","1497837834"",""",19/06/2017,"2:3:54"",""69.6"",""14.9"""
"""","1497837835"",""",19/06/2017,"2:3:55"",""69.6"",""14.9"""
"""","1497837836"",""",19/06/2017,"2:3:56"",""69.6"",""14.9"""
"""","1497837837"",""",19/06/2017,"2:3:57"",""69.6"",""14.9"""
"""","1497837838"",""",19/06/2017,"2:3:58"",""69.7"",""14.9"""
"""","1497837839"",""",19/06/2017,"2:3:59"",""69.7"",""14.9"""
"""","1497837840"",""",19/06/2017,"2:4:0"",""69.7"",""14.9"""
"""","1497837841"",""",19/06/2017,"2:4:1"",""69.7"",""14.9"""
"""","1497837842"",""",19/06/2017,"2:4:2"",""69.7"",""14.9"""
"""","1497837843"",""",19/06/2017,"2:4:3"",""69.7"",""14.9"""
"""","1497837844"",""",19/06/2017,"2:4:4"",""69.7"",""14.9"""
"""","1497837845"",""",19/06/2017,"2:4:5"",""69.7"",""14.9"""
"""","1497837846"",""",19/06/2017,"2:4:6"",""69.7"",""14.9"""
"""","1497837847"",""",19/06/2017,"2:4:7"",""69.6"",""14.9"""
"""","1497837848"",""",19/06/2017,"2:4:8"",""69.6"",""14.9"""
"""","1497837849"",""",19/06/2017,"2:4:9"",""69.6"",""14.9"""
"""","1497837850"",""",19/06/2017,"2:4:10"",""69.6"",""14.9"""
"""","1497837851"",""",19/06/2017,"2:4:11"",""69.6"",""14.9"""
"""","1497837852"",""",19/06/2017,"2:4:12"",""69.6"",""14.9"""
"""","1497837853"",""",19/06/2017,"2:4:13"",""69.6"",""14.9"""
"""","1497837854"",""",19/06/2017,"2:4:14"",""69.6"",""14.9"""
"""","1497837855"",""",19/06/2017,"2:4:15"",""69.6"",""14.9"""
"""","1497837856"",""",19/06/2017,"2:4:16"",""69.6"",""14.9"""
"""","1497837857"",""",19/06/2017,"2:4:17"",""69.6"",""14.9"""
"""","1497837858"",""",19/06/2017,"2:4:18"",""69.6"",""14.9"""
"""","1497837859"",""",19/06/2017,"2:4:19"",""69.6"",""14.9"""
"""","1497837860"",""",19/06/2017,"2:4:20"",""69.5"",""14.9"""
"""","1497837861"",""",19/06/2017,"2:4:21"",""69.5"",""14.9"""
"""","1497837862"",""",19/06/2017,"2:4:22"",""69.5"",""14.9"""
"""","1497837863"",""",19/06/2017,"2:4:23"",""69.5"",""14.9"""
"""","1497837864"",""",19/06/2017,"2:4:24"",""69.5"",""14.9"""
"""","1497837865"",""",19/06/2017,"2:4:25"",""69.5"",""14.9"""
"""","1497837866"",""",19/06/2017,"2:4:26"",""69.5"",""14.9"""
"""","1497837867"",""",19/06/2017,"2:4:27"",""69.5"",""14.9"""
"""","1497837868"",""",19/06/2017,"2:4:28"",""69.5"",""14.9"""
"""","1497837869"",""",19/06/2017,"2:4:29"",""69.5"",""14.9"""
"""","1497837870"",""",19/06/2017,"2:4:30"",""69.5"",""14.9"""
"""","1497837871"",""",19/06/2017,"2:4:31"",""69.5"",""14.9"""
"""","1497837872"",""",19/06/2017,"2:4:32"",""69.5"",""14.9"""
"""","1497837873"",""",19/06/2017,"2:4:33"",""69.5"",""14.9"""
"""","1497837874"",""",19/06/2017,"2:4:34"",""69.5"",""14.9"""
"""","1497837875"",""",19/06/2017,"2:4:35"",""69.5"",""14.9"""
"""","1497837876"",""",19/06/2017,"2:4:36"",""69.5"",""14.9"""
"""","1497837877"",""",19/06/2017,"2:4:37"",""69.5"",""14.9"""
"""","1497837878"",""",19/06/2017,"2:4:38"",""69.5"",""14.9"""
"""","1497837879"",""",19/06/2017,"2:4:39"",""69.5"",""14.9"""
"""","1497837880"",""",19/06/2017,"2:4:40"",""69.5"",""14.9"""
"""","1497837881"",""",19/06/2017,"2:4:41"",""69.5"",""14.9"""
"""","1497837882"",""",19/06/2017,"2:4:42"",""69.5"",""14.9"""
"""","1497837883"",""",19/06/2017,"2:4:43"",""69.5"",""14.9"""
"""","1497837884"",""",19/06/2017,"2:4:44"",""69.5"",""14.9"""
"""","1497837885"",""",19/06/2017,"2:4:45"",""69.5"",""14.9"""
"""","1497837886"",""",19/06/2017,"2:4:46"",""69.5"",""14.9"""
"""","1497837887"",""",19/06/2017,"2:4:47"",""69.5"",""14.9"""
"""","1497837888"",""",19/06/2017,"2:4:48"",""69.5"",""14.9"""
"""","1497837889"",""",19/06/2017,"2:4:49"",""69.6"",""14.9"""
"""","1497837890"",""",19/06/2017,"2:4:50"",""69.6"",""14.9"""
"""","1497837891"",""",19/06/2017,"2:4:51"",""69.5"",""14.9"""
"""","1497837892"",""",19/06/2017,"2:4:52"",""69.5"",""14.9"""
"""","1497837893"",""",19/06/2017,"2:4:53"",""69.5"",""14.9"""
"""","1497837894"",""",19/06/2017,"2:4:54"",""69.5"",""14.9"""
"""","1497837895"",""",19/06/2017,"2:4:55"",""69.5"",""14.9"""
"""","1497837896"",""",19/06/2017,"2:4:56"",""69.5"",""14.9"""
"""","1497837897"",""",19/06/2017,"2:4:57"",""69.5"",""14.9"""
"""","1497837898"",""",19/06/2017,"2:4:58"",""69.5"",""14.9"""
"""","1497837899"",""",19/06/2017,"2:4:59"",""69.5"",""14.9"""
"""","1497837900"",""",19/06/2017,"2:5:0"",""69.4"",""14.8"""
"""","1497837901"",""",19/06/2017,"2:5:1"",""69.4"",""14.8"""
"""","1497837902"",""",19/06/2017,"2:5:2"",""69.5"",""14.9"""
"""","1497837903"",""",19/06/2017,"2:5:3"",""69.5"",""14.9"""
"""","1497837904"",""",19/06/2017,"2:5:4"",""69.5"",""14.9"""
"""","1497837905"",""",19/06/2017,"2:5:5"",""69.6"",""14.9"""
"""","1497837906"",""",19/06/2017,"2:5:6"",""69.6"",""14.9"""
"""","1497837907"",""",19/06/2017,"2:5:7"",""69.6"",""14.9"""
"""","1497837908"",""",19/06/2017,"2:5:8"",""69.6"",""14.9"""
"""","1497837909"",""",19/06/2017,"2:5:9"",""69.6"",""14.9"""
"""","1497837910"",""",19/06/2017,"2:5:10"",""69.6"",""14.9"""
"""","1497837911"",""",19/06/2017,"2:5:11"",""69.5"",""14.8"""
"""","1497837912"",""",19/06/2017,"2:5:12"",""69.5"",""14.8"""
"""","1497837913"",""",19/06/2017,"2:5:13"",""69.5"",""14.8"""
"""","1497837914"",""",19/06/2017,"2:5:14"",""69.6"",""14.9"""
"""","1497837915"",""",19/06/2017,"2:5:15"",""69.6"",""14.9"""
"""","1497837916"",""",19/06/2017,"2:5:16"",""69.6"",""14.9"""
"""","1497837917"",""",19/06/2017,"2:5:17"",""69.6"",""14.9"""
"""","1497837918"",""",19/06/2017,"2:5:18"",""69.6"",""14.9"""
"""","1497837919"",""",19/06/2017,"2:5:19"",""69.6"",""14.9"""
"""","1497837920"",""",19/06/2017,"2:5:20"",""69.6"",""14.9"""
"""","1497837921"",""",19/06/2017,"2:5:21"",""69.6"",""14.9"""
"""","1497837922"",""",19/06/2017,"2:5:22"",""69.6"",""14.9"""
"""","1497837923"",""",19/06/2017,"2:5:23"",""69.4"",""14.8"""
"""","1497837924"",""",19/06/2017,"2:5:24"",""69.4"",""14.8"""
"""","1497837925"",""",19/06/2017,"2:5:25"",""69.6"",""14.9"""
"""","1497837926"",""",19/06/2017,"2:5:26"",""69.6"",""14.9"""
"""","1497837927"",""",19/06/2017,"2:5:27"",""69.6"",""14.9"""
"""","1497837928"",""",19/06/2017,"2:5:28"",""69.4"",""14.8"""
"""","1497837929"",""",19/06/2017,"2:5:29"",""69.4"",""14.8"""
"""","1497837930"",""",19/06/2017,"2:5:30"",""69.4"",""14.8"""
"""","1497837931"",""",19/06/2017,"2:5:31"",""69.4"",""14.8"""
"""","1497837932"",""",19/06/2017,"2:5:32"",""69.6"",""14.9"""
"""","1497837933"",""",19/06/2017,"2:5:33"",""69.6"",""14.9"""
"""","1497837934"",""",19/06/2017,"2:5:34"",""69.5"",""14.8"""
"""","1497837935"",""",19/06/2017,"2:5:35"",""69.5"",""14.8"""
"""","1497837936"",""",19/06/2017,"2:5:36"",""69.5"",""14.8"""
"""","1497837937"",""",19/06/2017,"2:5:37"",""69.5"",""14.8"""
"""","1497837938"",""",19/06/2017,"2:5:38"",""69.5"",""14.8"""
"""","1497837939"",""",19/06/2017,"2:5:39"",""69.7"",""14.9"""
"""","1497837940"",""",19/06/2017,"2:5:40"",""69.7"",""14.9"""
"""","1497837941"",""",19/06/2017,"2:5:41"",""69.5"",""14.8"""
"""","1497837942"",""",19/06/2017,"2:5:42"",""69.5"",""14.8"""
"""","1497837943"",""",19/06/2017,"2:5:43"",""69.5"",""14.8"""
"""","1497837944"",""",19/06/2017,"2:5:44"",""69.5"",""14.8"""
"""","1497837945"",""",19/06/2017,"2:5:45"",""69.5"",""14.8"""
"""","1497837946"",""",19/06/2017,"2:5:46"",""69.6"",""14.8"""
"""","1497837947"",""",19/06/2017,"2:5:47"",""69.6"",""14.8"""
"""","1497837948"",""",19/06/2017,"2:5:48"",""69.7"",""14.9"""
"""","1497837949"",""",19/06/2017,"2:5:49"",""69.7"",""14.9"""
"""","1497837950"",""",19/06/2017,"2:5:50"",""69.6"",""14.8"""
"""","1497837951"",""",19/06/2017,"2:5:51"",""69.6"",""14.8"""
"""","1497837952"",""",19/06/2017,"2:5:52"",""69.6"",""14.8"""
"""","1497837953"",""",19/06/2017,"2:5:53"",""69.6"",""14.8"""
"""","1497837954"",""",19/06/2017,"2:5:54"",""69.6"",""14.8"""
"""","1497837955"",""",19/06/2017,"2:5:55"",""69.6"",""14.8"""
"""","1497837956"",""",19/06/2017,"2:5:56"",""69.6"",""14.8"""
"""","1497837957"",""",19/06/2017,"2:5:57"",""69.6"",""14.8"""
"""","1497837958"",""",19/06/2017,"2:5:58"",""69.6"",""14.8"""
"""","1497837959"",""",19/06/2017,"2:5:59"",""69.6"",""14.8"""
"""","1497837960"",""",19/06/2017,"2:6:0"",""69.5"",""14.8"""
"""","1497837961"",""",19/06/2017,"2:6:1"",""69.5"",""14.8"""
"""","1497837962"",""",19/06/2017,"2:6:2"",""69.5"",""14.8"""
"""","1497837963"",""",19/06/2017,"2:6:3"",""69.5"",""14.8"""
"""","1497837964"",""",19/06/2017,"2:6:4"",""69.5"",""14.8"""
"""","1497837965"",""",19/06/2017,"2:6:5"",""69.5"",""14.8"""
"""","1497837966"",""",19/06/2017,"2:6:6"",""69.5"",""14.8"""
"""","1497837967"",""",19/06/2017,"2:6:7"",""69.5"",""14.8"""
"""","1497837968"",""",19/06/2017,"2:6:8"",""69.5"",""14.8"""
"""","1497837969"",""",19/06/2017,"2:6:9"",""69.5"",""14.8"""
"""","1497837970"",""",19/06/2017,"2:6:10"",""69.5"",""14.8"""
"""","1497837971"",""",19/06/2017,"2:6:11"",""69.5"",""14.8"""
"""","1497837972"",""",19/06/2017,"2:6:12"",""69.5"",""14.8"""
"""","1497837973"",""",19/06/2017,"2:6:13"",""69.4"",""14.8"""
"""","1497837974"",""",19/06/2017,"2:6:14"",""69.4"",""14.8"""
"""","1497837975"",""",19/06/2017,"2:6:15"",""69.5"",""14.8"""
"""","1497837976"",""",19/06/2017,"2:6:16"",""69.5"",""14.8"""
"""","1497837977"",""",19/06/2017,"2:6:17"",""69.5"",""14.8"""
"""","1497837978"",""",19/06/2017,"2:6:18"",""69.5"",""14.8"""
"""","1497837979"",""",19/06/2017,"2:6:19"",""69.5"",""14.8"""
"""","1497837980"",""",19/06/2017,"2:6:20"",""69.5"",""14.8"""
"""","1497837981"",""",19/06/2017,"2:6:21"",""69.5"",""14.8"""
"""","1497837982"",""",19/06/2017,"2:6:22"",""69.5"",""14.8"""
"""","1497837983"",""",19/06/2017,"2:6:23"",""69.5"",""14.8"""
"""","1497837984"",""",19/06/2017,"2:6:24"",""69.5"",""14.8"""
"""","1497837985"",""",19/06/2017,"2:6:25"",""69.5"",""14.8"""
"""","1497837986"",""",19/06/2017,"2:6:26"",""69.5"",""14.8"""
"""","1497837987"",""",19/06/2017,"2:6:27"",""69.5"",""14.8"""
"""","1497837988"",""",19/06/2017,"2:6:28"",""69.5"",""14.8"""
"""","1497837990"",""",19/06/2017,"2:6:30"",""69.5"",""14.8"""
"""","1497837991"",""",19/06/2017,"2:6:31"",""69.5"",""14.8"""
"""","1497837992"",""",19/06/2017,"2:6:32"",""69.5"",""14.8"""
"""","1497837993"",""",19/06/2017,"2:6:33"",""69.5"",""14.8"""
"""","1497837994"",""",19/06/2017,"2:6:34"",""69.5"",""14.8"""
"""","1497837995"",""",19/06/2017,"2:6:35"",""69.5"",""14.8"""
"""","1497837996"",""",19/06/2017,"2:6:36"",""69.5"",""14.8"""
"""","1497837997"",""",19/06/2017,"2:6:37"",""69.5"",""14.8"""
"""","1497837998"",""",19/06/2017,"2:6:38"",""69.5"",""14.8"""
"""","1497837999"",""",19/06/2017,"2:6:39"",""69.5"",""14.8"""
"""","1497838000"",""",19/06/2017,"2:6:40"",""69.5"",""14.8"""
"""","1497838001"",""",19/06/2017,"2:6:41"",""69.5"",""14.8"""
"""","1497838002"",""",19/06/2017,"2:6:42"",""69.6"",""14.8"""
"""","1497838003"",""",19/06/2017,"2:6:43"",""69.6"",""14.8"""
"""","1497838004"",""",19/06/2017,"2:6:44"",""69.6"",""14.8"""
"""","1497838005"",""",19/06/2017,"2:6:45"",""69.6"",""14.8"""
"""","1497838006"",""",19/06/2017,"2:6:46"",""69.6"",""14.8"""
"""","1497838007"",""",19/06/2017,"2:6:47"",""69.6"",""14.8"""
"""","1497838008"",""",19/06/2017,"2:6:48"",""69.6"",""14.8"""
"""","1497838009"",""",19/06/2017,"2:6:49"",""69.6"",""14.8"""
"""","1497838010"",""",19/06/2017,"2:6:50"",""69.6"",""14.8"""
"""","1497838011"",""",19/06/2017,"2:6:51"",""69.6"",""14.8"""
"""","1497838012"",""",19/06/2017,"2:6:52"",""69.6"",""14.8"""
"""","1497838013"",""",19/06/2017,"2:6:53"",""69.6"",""14.8"""
"""","1497838014"",""",19/06/2017,"2:6:54"",""69.6"",""14.8"""
"""","1497838015"",""",19/06/2017,"2:6:55"",""69.6"",""14.8"""
"""","1497838016"",""",19/06/2017,"2:6:56"",""69.6"",""14.8"""
"""","1497838017"",""",19/06/2017,"2:6:57"",""69.6"",""14.8"""
"""","1497838018"",""",19/06/2017,"2:6:58"",""69.5"",""14.8"""
"""","1497838019"",""",19/06/2017,"2:6:59"",""69.5"",""14.8"""
"""","1497838020"",""",19/06/2017,"2:7:0"",""69.5"",""14.8"""
"""","1497838021"",""",19/06/2017,"2:7:1"",""69.5"",""14.8"""
"""","1497838022"",""",19/06/2017,"2:7:2"",""69.5"",""14.8"""
"""","1497838023"",""",19/06/2017,"2:7:3"",""69.5"",""14.8"""
"""","1497838024"",""",19/06/2017,"2:7:4"",""69.5"",""14.8"""
"""","1497838025"",""",19/06/2017,"2:7:5"",""69.6"",""14.8"""
"""","1497838026"",""",19/06/2017,"2:7:6"",""69.6"",""14.8"""
"""","1497838027"",""",19/06/2017,"2:7:7"",""69.6"",""14.8"""
"""","1497838028"",""",19/06/2017,"2:7:8"",""69.6"",""14.8"""
"""","1497838029"",""",19/06/2017,"2:7:9"",""69.6"",""14.8"""
"""","1497838030"",""",19/06/2017,"2:7:10"",""69.6"",""14.8"""
"""","1497838031"",""",19/06/2017,"2:7:11"",""69.6"",""14.8"""
"""","1497838032"",""",19/06/2017,"2:7:12"",""69.5"",""14.8"""
"""","1497838033"",""",19/06/2017,"2:7:13"",""69.5"",""14.8"""
"""","1497838034"",""",19/06/2017,"2:7:14"",""69.5"",""14.8"""
"""","1497838035"",""",19/06/2017,"2:7:15"",""69.5"",""14.8"""
"""","1497838036"",""",19/06/2017,"2:7:16"",""69.5"",""14.8"""
"""","1497838037"",""",19/06/2017,"2:7:17"",""69.5"",""14.8"""
"""","1497838038"",""",19/06/2017,"2:7:18"",""69.5"",""14.8"""
"""","1497838039"",""",19/06/2017,"2:7:19"",""69.5"",""14.8"""
"""","1497838040"",""",19/06/2017,"2:7:20"",""69.5"",""14.8"""
"""","1497838041"",""",19/06/2017,"2:7:21"",""69.5"",""14.8"""
"""","1497838042"",""",19/06/2017,"2:7:22"",""69.5"",""14.8"""
"""","1497838043"",""",19/06/2017,"2:7:23"",""69.5"",""14.8"""
"""","1497838044"",""",19/06/2017,"2:7:24"",""69.5"",""14.8"""
"""","1497838045"",""",19/06/2017,"2:7:25"",""69.5"",""14.8"""
"""","1497838046"",""",19/06/2017,"2:7:26"",""69.5"",""14.8"""
"""","1497838047"",""",19/06/2017,"2:7:27"",""69.5"",""14.8"""
"""","1497838048"",""",19/06/2017,"2:7:28"",""69.5"",""14.8"""
"""","1497838049"",""",19/06/2017,"2:7:29"",""69.5"",""14.8"""
"""","1497838050"",""",19/06/2017,"2:7:30"",""69.5"",""14.8"""
"""","1497838051"",""",19/06/2017,"2:7:31"",""69.5"",""14.8"""
"""","1497838052"",""",19/06/2017,"2:7:32"",""69.5"",""14.8"""
"""","1497838053"",""",19/06/2017,"2:7:33"",""69.5"",""14.8"""
"""","1497838054"",""",19/06/2017,"2:7:34"",""69.6"",""14.8"""
"""","1497838055"",""",19/06/2017,"2:7:35"",""69.6"",""14.8"""
"""","1497838056"",""",19/06/2017,"2:7:36"",""69.6"",""14.8"""
"""","1497838057"",""",19/06/2017,"2:7:37"",""69.6"",""14.8"""
"""","1497838058"",""",19/06/2017,"2:7:38"",""69.6"",""14.8"""
"""","1497838059"",""",19/06/2017,"2:7:39"",""69.6"",""14.8"""
"""","1497838060"",""",19/06/2017,"2:7:40"",""69.6"",""14.8"""
"""","1497838061"",""",19/06/2017,"2:7:41"",""69.6"",""14.8"""
"""","1497838062"",""",19/06/2017,"2:7:42"",""69.6"",""14.8"""
"""","1497838063"",""",19/06/2017,"2:7:43"",""69.6"",""14.8"""
"""","1497838064"",""",19/06/2017,"2:7:44"",""69.6"",""14.8"""
"""","1497838065"",""",19/06/2017,"2:7:45"",""69.6"",""14.8"""
"""","1497838066"",""",19/06/2017,"2:7:46"",""69.6"",""14.8"""
"""","1497838067"",""",19/06/2017,"2:7:47"",""69.7"",""14.9"""
"""","1497838068"",""",19/06/2017,"2:7:48"",""69.7"",""14.9"""
"""","1497838069"",""",19/06/2017,"2:7:49"",""69.7"",""14.9"""
"""","1497838070"",""",19/06/2017,"2:7:50"",""69.7"",""14.9"""
"""","1497838071"",""",19/06/2017,"2:7:51"",""69.7"",""14.9"""
"""","1497838072"",""",19/06/2017,"2:7:52"",""69.7"",""14.9"""
"""","1497838073"",""",19/06/2017,"2:7:53"",""69.7"",""14.9"""
"""","1497838074"",""",19/06/2017,"2:7:54"",""69.7"",""14.9"""
"""","1497838075"",""",19/06/2017,"2:7:55"",""69.7"",""14.9"""
